# //  Questa Sim-64
# //  Version 2019.2_1 linux_x86_64 May 13 2019
# //
# //  Copyright 1991-2019 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Project file /u/rseth/ece571_hw2_yaalu/hw2_yaalu.mpf was not found.
# Unable to open project.
# Loading project ece571_rwb
# reading /pkgs/mentor/questa/2019.2_1/questasim/linux_x86_64/../modelsim.ini
# Loading project hw3_shiftreg
# Compile of regWithBenefits.sv failed with 1 errors.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 2 failed with 3 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
vsim work.test_rwb
#                  155	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010011011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  160	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  165	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  170	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  175	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  180	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010110100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  185	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  190	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Simulation concluded!
#                  195	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011000011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  200	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  205	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  210	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  215	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  220	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011011100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  225	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  230	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  235	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011101011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  240	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  245	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  250	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  255	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  260	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100000100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  265	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  270	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  275	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100010011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  280	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  285	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  290	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  295	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 300
# Simulation starting...
# 
#                    5	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000000101 - clr 1 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Walking a 1 across the register.
# 
#                   10	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 1b  0
#                   15	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   20	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000010100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   25	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   30	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   35	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000100011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   40	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   45	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   50	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   55	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   60	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000111100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   65	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   70	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   75	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001001011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   80	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   85	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   90	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   95	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  100	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001100100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  105	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  110	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  115	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001110011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  120	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  125	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  130	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  135	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  140	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010001100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  145	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  150	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  155	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010011011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  160	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  165	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  170	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  175	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  180	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010110100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  185	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  190	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Simulation concluded!
#                  195	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011000011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  200	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  205	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  210	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  215	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  220	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011011100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  225	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  230	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  235	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011101011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  240	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  245	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  250	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  255	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  260	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100000100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  265	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  270	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  275	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100010011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  280	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  285	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  290	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  295	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 300
# Simulation starting...
# 
#                    5CONTROL SIGNALS = rst 1 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
# Walking a 1 across the register.
# 
#                   10CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 1 -- DATA OUT: 00000000b
#                   15CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   20CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   25CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   30CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   35CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   40CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   45CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   50CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   55CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   60CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   65CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   70CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   75CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   80CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   85CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   90CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 1
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                   95CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  100CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  105CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  110CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  115CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  120CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  125CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  130CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  135CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
#                  140CONTROL SIGNALS = rst 0 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 00000000 -- SERIAL IN: 0 -- DATA OUT: 00000000b
